Reference,Area,overturning,Longitude,Latitude,Comments,Data source,FN,FN_ci_lo,FN_ci_hi,aux_comments_conf_int,logFN,no3_sfc_summer_uM,no3_sfc_winter_uM,aux_comments,samplesize,Method,Turbulence_measurement,Nitrate_measurement,Platform,Ice,Ice_conc,Season,Month,measured_start,measured_end,Vertical_domain
randelhoff2016vertical,N Svalbard/Fram Strait,overturning,9.5,79.5,,NO3 data source: Table 1,0.3,,,,-0.522878745,0.4,,,aggregate,Flux,Microstructure,Optic,Vessel,Ice,90,Summer,6,5,9,Surface
randelhoff2016vertical,N Svalbard/Fram Strait,overturning,8,80.2,,NO3 data source: Table 1,0.7,,,,-0.15490196,0.02,,,aggregate,Flux,Microstructure,Optic,Vessel,Open water,0,Summer,6,5,9,Surface
randelhoff2015seasonal,"Barents Sea, AABC",overturning,30.85,81.5,,NO3 data source: Text,2.5,1.5,3.5,2 std dev uncertainty,0.397940009,,10,,aggregate,Budget,,Optic,Mooring,Ice,,Winter,11,10,2,Surface
bourgault2011turbulent,Beaufort Sea ,perennial,-125.5,71,,NO3 data source: [@tremblay2008vertical],0.12,0.072,0.19,95% CI,-0.920818754,0.5,4,,aggregate,Flux,Microstructure,Optic,Vessel,Ice,100,Winter,11,11,12.5,Surface
randelhoff2016regional,Canada Basin,perennial,-145,75,,NO3 data source: Fig. 2,0.01,0.007,0.014,95% CI from eps in Tab. 1,-2,,0.5,,aggregate,Flux,Finestructure,Optic,Mooring + ice station,Ice,,Perennial,4,4,4,Interior
randelhoff2016regional,Makarov Basin,perennial,-137,87,,NO3 data source: Fig. 2,0.015,0.009,0.018,95% CI from eps in Tab. 1,-1.823908741,,1,,aggregate,Flux,Finestructure,Optic,,Ice,,Perennial,4,4,4,Interior
randelhoff2016regional,Amundsen Basin,perennial,32.6,88.4,,NO3 data source: Fig. 2,0.05,,,,-1.301029996,,4,,aggregate,Flux,Microstructure,Optic,Ice station,Ice,,Perennial,4,4,4,Interior
randelhoff2016regional,Nansen Basin/Yermak Plateau,perennial,37.5,88.36,,NO3 data source: Fig. 2,0.2,,,,-0.698970004,,7,,aggregate,Flux,Microstructure,Optic,Ice camp/vessel,Ice,,Perennial,4,1,4,Interior
sundfjord2007observations,Barents Sea,overturning,28.6933,79.37833,"Stn. X, Low mixing",,0.1,,,,-1,,,sturluson2008bacterial,single,Flux,Microstructure,Bottle,Vessel,,,Summer,7,7.5,7.5,Surface
sundfjord2007observations,Barents Sea,overturning,30.943,79.938,"Stn. XIII, High mixing",,2,,,,0.301029996,,,sturluson2008bacterial,single,Flux,Microstructure,Bottle,Vessel,,,Summer,7,8,8,Surface
wiedmann2017upward,Barents Sea,overturning,28.1258,78.0937,"Process stn. M1, low mixing",NO3 data source: Table 2,0.1,,,,-1,0.55,,,single,Flux,Microstructure,Optic,Vessel,Ice,30,Summer,6,6.5,6.5,Surface
wiedmann2017upward,Barents Sea,overturning,30.0033,74.9107,"Process stn. M4, high mixing",NO3 data source: Table 2,5,,,,0.698970004,0.5,,,single,Flux,Microstructure,Optic,Vessel,Open water,0,Summer,6,7,7,Surface
nishino2018biogeochemical,Chukchi Sea,perennial,-156,72.25,Warm-core eddy,,0.19,,,,-0.721246399,0.0035,,,aggregate,Flux,Microstructure,Bottle,Vessel,,0,Summer,9,9.5,9.5,Surface
"this study, @nishino2015nutrient",Chukchi Sea,perennial,-168.25,72.25,Calculation based on existing data. Mixing coeff. calculated over 25<z<40m. Surface NO3 conc. calculated over z<=10 m,,0.02,,,,-1.698970004,0.05,,,single,Flux,Microstructure,Bottle,Vessel,,,Summer,9,9.5,9.5,Surface
this study,Baffin Bay,overturning,-65.4,72.2,unpublished,,1.7,1,2.4,proportionally scaled from randelhoff2015seasonal,0.230448921,,6.5,,aggregate,Budget,,Optic,BGC Argo,ice,100,Winter,1,11,4,Surface
this study,Laptev Shelf (outer),perennial,126,76.3,unpublished,,0.015,,,,,,,,single,Flux,Microstructure,Bottle & Optic,Vessel,Open water,0,Summer,8,8,8,Surface
this study,Young Sound (Sills),overturning,-19,73.8,over sills; unpublished; coordinates adjusted for better visibility on Pan-Arctic map,,0.33,,,,-0.48148606,,,,aggregate,Flux,Microstructure,Optic,Vessel,Open water,0,Summer,8,8,8,Surface
this study,Young Sound (Interior),overturning,-22,74.8,interior; unpublished; coordinates adjusted for better visibility on Pan-Arctic map,,0.035,,,,-1.455931956,,,,aggregate,Flux,Microstructure,Optic,Vessel,Open water,0,Summer,8,8,8,Surface